iter	Passed	Remaining
0	0	69
1	1	59
2	1	54
3	2	50
4	2	48
5	3	47
6	3	46
7	3	45
8	4	46
9	5	46
10	5	46
11	6	46
12	6	46
13	7	46
14	8	46
15	8	45
16	9	45
17	9	44
18	10	44
19	10	43
20	11	42
21	11	42
22	12	41
23	12	40
24	13	40
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	32	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	48	0
98	49	0
99	49	0
