iter	Passed	Remaining
0	10	10594
1	11	5927
2	12	4145
3	13	3243
4	13	2720
5	14	2349
6	14	2082
7	15	1880
8	15	1723
9	16	1595
10	16	1491
11	17	1412
12	17	1343
13	18	1280
14	18	1227
15	19	1179
16	19	1136
17	20	1099
18	20	1066
19	21	1036
20	21	1009
21	22	986
22	22	972
23	24	1012
24	25	997
25	26	977
26	26	958
27	27	940
28	27	922
29	28	907
30	28	892
31	29	878
32	29	865
33	30	853
34	30	841
35	31	830
36	31	820
37	32	810
38	32	800
39	32	791
40	33	782
41	33	774
42	34	766
43	34	759
44	35	754
45	36	747
46	36	741
47	37	735
48	37	728
49	38	723
50	39	731
51	39	726
52	40	720
53	40	714
54	41	709
55	41	704
56	42	699
57	42	694
58	43	689
59	43	685
60	44	680
61	44	676
62	45	672
63	45	668
64	46	667
65	46	664
66	47	663
67	48	660
68	48	656
69	49	652
70	49	649
71	50	648
72	50	645
73	51	641
74	51	638
75	52	635
76	53	645
77	54	647
78	55	646
79	56	644
80	57	648
81	57	645
82	57	640
83	58	637
84	58	634
85	59	631
86	59	629
87	60	627
88	61	625
89	61	623
90	62	620
91	62	618
92	63	616
93	63	614
94	64	613
95	64	611
96	65	609
97	66	608
98	66	606
99	69	622
100	69	622
101	70	621
102	71	619
103	71	617
104	72	615
105	72	613
106	73	611
107	73	609
108	74	607
109	74	605
110	75	603
111	75	601
112	76	599
113	76	597
114	77	596
115	77	594
116	78	592
117	79	590
118	79	589
119	80	588
120	80	587
121	81	586
122	83	594
123	84	595
124	85	595
125	85	595
126	86	593
127	87	594
128	87	594
129	88	593
130	89	593
131	90	593
132	90	592
133	91	591
134	92	589
135	92	588
136	93	587
137	93	585
138	94	583
139	94	582
140	95	581
141	95	579
142	96	580
143	97	582
144	99	586
145	100	589
146	101	589
147	102	589
148	103	588
149	103	587
150	104	586
151	104	585
152	105	584
153	106	585
154	107	585
155	107	584
156	108	582
157	109	581
158	109	580
159	110	580
160	111	579
161	112	584
162	114	585
163	115	586
164	115	585
165	116	584
166	116	583
167	117	582
168	118	581
169	118	580
170	119	579
171	120	579
172	121	578
173	121	578
174	122	578
175	123	576
176	123	575
177	124	573
178	124	572
179	125	570
180	127	574
181	127	574
182	128	573
183	128	571
184	129	570
185	130	569
186	130	569
187	131	570
188	132	569
189	133	568
190	133	567
191	134	567
192	135	567
193	136	566
194	136	565
195	137	563
196	137	562
197	138	560
198	138	559
199	139	557
200	140	556
201	141	560
202	143	563
203	145	567
204	146	566
205	146	565
206	147	564
207	148	563
208	149	564
209	149	563
210	150	562
211	150	560
212	151	559
213	152	558
214	152	557
215	153	556
216	153	554
217	154	553
218	154	551
219	156	555
220	158	558
221	160	561
222	160	560
223	161	559
224	162	558
225	162	558
226	163	557
227	164	555
228	164	554
229	165	554
230	166	553
231	166	551
232	167	550
233	167	549
234	168	548
235	168	546
236	169	545
237	171	548
238	172	548
239	173	548
240	173	547
241	175	550
242	176	550
243	177	549
244	178	548
245	178	547
246	179	547
247	180	546
248	181	546
249	181	545
250	183	546
251	183	545
252	185	547
253	186	547
254	187	547
255	187	545
256	188	544
257	188	543
258	189	542
259	190	541
260	190	540
261	191	539
262	192	538
263	193	538
264	193	537
265	194	535
266	194	534
267	195	533
268	195	531
269	196	530
270	196	529
271	197	528
272	197	527
273	198	526
274	200	528
275	201	528
276	202	528
277	203	527
278	203	526
279	204	525
280	205	525
281	205	524
282	206	523
283	207	522
284	207	521
285	208	520
286	209	520
287	209	518
288	210	517
289	211	516
290	211	515
291	212	514
292	212	512
293	213	511
294	214	512
295	215	512
296	215	510
297	216	510
298	217	508
299	217	507
300	218	506
301	218	505
302	219	504
303	219	503
304	220	501
305	220	500
306	221	499
307	221	498
308	222	497
309	222	496
310	223	494
311	223	493
312	224	492
313	225	491
314	225	490
315	226	489
316	226	488
317	227	487
318	229	489
319	230	488
320	230	488
321	231	487
322	231	486
323	232	484
324	233	483
325	233	483
326	234	482
327	235	481
328	235	480
329	236	479
330	236	478
331	237	477
332	237	476
333	238	474
334	238	473
335	239	472
336	239	471
337	240	470
338	240	469
339	241	468
340	241	467
341	243	468
342	244	467
343	244	466
344	245	465
345	245	464
346	246	463
347	246	462
348	247	461
349	247	460
350	248	459
351	249	458
352	249	457
353	250	456
354	250	455
355	251	454
356	251	453
357	252	452
358	252	451
359	253	450
360	253	449
361	254	448
362	254	447
363	255	446
364	255	445
365	256	444
366	257	444
367	258	444
368	259	444
369	260	443
370	260	442
371	261	441
372	261	440
373	262	439
374	263	438
375	264	438
376	264	437
377	265	436
378	265	435
379	266	435
380	267	434
381	267	433
382	268	432
383	268	431
384	269	430
385	269	429
386	270	428
387	270	427
388	271	426
389	272	426
390	273	426
391	274	425
392	274	424
393	275	423
394	276	422
395	276	421
396	277	421
397	278	420
398	278	419
399	279	418
400	279	417
401	280	416
402	280	416
403	281	415
404	281	414
405	282	413
406	282	412
407	283	411
408	283	410
409	284	409
410	285	408
411	285	407
412	286	406
413	287	406
414	287	405
415	288	404
416	288	403
417	289	402
418	289	402
419	290	401
420	290	400
421	291	399
422	291	398
423	292	397
424	293	396
425	293	395
426	294	394
427	294	393
428	295	392
429	295	391
430	296	391
431	296	390
432	297	389
433	297	388
434	298	387
435	298	386
436	299	386
437	300	385
438	300	384
439	301	383
440	302	383
441	302	382
442	303	381
443	304	380
444	304	379
445	305	379
446	305	378
447	306	377
448	306	376
449	307	375
450	307	374
451	308	373
452	308	373
453	309	372
454	309	371
455	310	370
456	311	369
457	311	368
458	312	367
459	312	367
460	313	366
461	314	365
462	314	364
463	315	364
464	318	365
465	318	365
466	319	364
467	319	363
468	320	362
469	320	361
470	321	360
471	321	359
472	322	359
473	322	358
474	323	357
475	323	356
476	324	355
477	324	354
478	325	354
479	326	353
480	326	352
481	327	351
482	327	350
483	328	349
484	328	349
485	329	348
486	329	347
487	330	346
488	331	346
489	332	345
490	332	344
491	333	344
492	333	343
493	334	342
494	334	341
495	335	340
496	335	339
497	336	339
498	336	338
499	337	337
500	338	336
501	338	335
502	339	335
503	339	334
504	340	333
505	340	332
506	341	332
507	342	331
508	343	331
509	343	330
510	344	329
511	344	328
512	346	328
513	346	327
514	347	327
515	347	326
516	348	325
517	348	324
518	349	323
519	349	322
520	350	322
521	351	321
522	352	321
523	352	320
524	353	319
525	353	318
526	354	318
527	354	317
528	355	316
529	356	315
530	357	315
531	357	314
532	358	313
533	358	313
534	359	312
535	360	311
536	361	311
537	361	310
538	362	310
539	363	309
540	363	308
541	364	307
542	365	307
543	365	306
544	366	306
545	367	305
546	367	304
547	368	303
548	369	303
549	369	302
550	370	301
551	370	301
552	371	300
553	371	299
554	372	298
555	373	297
556	373	297
557	374	296
558	374	295
559	375	295
560	376	294
561	377	293
562	377	293
563	378	292
